x,y,z,,
-13.73,17.36,-39.18,45,128.33
-10.36,20,-39.49,45.46,117.39
-9.18,20.64,-39.59,45.58,113.99
-11.55,13.27,-45.1,48.41,131.02
-13.09,8.55,-46.02,48.6,146.86
-13.82,5.18,-47.04,49.3,159.44
-14.45,7.73,-45.51,48.37,151.87
-15.91,11.27,-42.04,46.34,144.68
-15.45,12.27,-41.73,46.17,141.55
-10.45,21.55,-36.63,43.77,115.88
-11.64,21.64,-35.71,43.35,118.27
-12.91,21.55,-34.49,42.67,120.93
-12.45,22.09,-33.78,42.24,119.41
-13.09,21.91,-33.37,42.01,120.86
-12.91,21.82,-33.37,41.91,120.61
-13.82,21.64,-33.47,42.18,122.56
