X,Y,Z,Magnitud,Heading
9.45,-29.36,-4.49,31.17,287.85
1.09,-28.64,-4.18,28.96,272.18
7.18,-31.09,-7.14,32.7,283.01
19.64,-31.27,-13.98,39.48,302.13
26.27,-28.64,-16.84,42.35,312.54
35.45,-20.36,-22.86,46.84,330.13
37.73,-14.82,-28.27,49.42,338.56
37.27,-15.55,-30.71,50.74,337.36
33.82,-21.55,-32.24,51.45,327.5
27.09,-27.64,-35.82,52.73,314.43
21.64,-31.64,-34.29,51.42,304.37
24,-30.73,-33.67,51.52,307.99
26.91,-28.64,-33.47,51.62,313.22
32.36,-24.27,-28.16,49.29,323.13
36.27,-19.36,-21.53,46.41,331.91
36.91,-17.64,-18.16,44.76,334.46
36.09,-15.36,-11.43,40.86,336.94
35.36,-13,-6.94,38.31,339.82
34.18,-7.27,-1.33,34.97,347.99
34.27,-8.27,-1.84,35.3,346.43
34,-7,-0.92,34.73,348.37
32,-2.45,2.65,32.2,355.61
29.18,0.64,6.43,29.89,1.25
20,3.18,12.45,23.77,9.04
10.64,2.73,15.31,18.84,14.38
2,-1.36,14.59,14.79,325.71
-9.36,-4.27,10.1,14.42,204.53
-14.45,-8.45,5.51,17.63,210.32
-15.73,-11.55,1.73,19.59,216.28
-18,-11,-0.2,21.1,211.43
-19.36,-15,-6.43,25.32,217.76
-20.55,-18.27,-13.57,30.66,221.65
-18.45,-22.27,-18.67,34.43,230.36
-17.36,-24.55,-23.88,38.39,234.72
-12.45,-27.91,-29.59,42.54,245.95
-6.27,-31.45,-32.96,45.99,258.72
-2.55,-32.91,-33.37,46.93,265.58
-1.36,-33.55,-33.27,47.26,267.67
3.64,-33.55,-36.43,49.65,276.19
8.27,-32.91,-39.29,51.91,284.11
4.18,-33.73,-37.14,50.34,277.07
-2,-32.27,-37.24,49.32,266.45
5.45,-32.73,-39.69,51.73,279.46
12.64,-33.45,-37.65,51.93,290.69
18.45,-31.36,-38.47,52.95,300.47
25.82,-28.09,-35.71,52.26,312.59
30.27,-25.45,-33.47,51.81,319.94
33.82,-22.64,-25.1,47.81,326.2
32.09,-25,-26.73,48.68,322.08
22.64,-29.73,-37.65,53.05,307.29
7.45,-32.45,-41.02,52.84,282.94
-1.36,-32.09,-38.47,50.12,267.57
-1.18,-33.18,-36.43,49.29,267.96
-11.73,-28.82,-32.86,45.25,247.86
-16.82,-25.64,-23.37,38.55,236.73
-18.09,-20.73,-10.31,29.38,228.89
-17.27,-13.09,0.2,21.67,217.16
-6.64,-12.09,8.98,16.46,241.24
-2.91,-6.82,12.45,14.49,246.89
4.45,-2.64,14.69,15.58,329.38
10.64,1.91,14.9,18.4,10.18
13.64,-0.09,14.08,19.6,359.62
22.82,-2,10.61,25.24,354.99
24.91,-1.18,9.59,26.72,357.28
31.73,-5.73,2.35,32.33,349.77
35.09,-10.09,-4.39,36.78,343.96
37.64,-7.55,-7.65,39.14,348.66
37.73,-14.64,-17.24,43.99,338.8
34.09,-22.64,-25.71,48.33,326.42
29.64,-26.18,-31.33,50.45,318.54
27.36,-28.64,-36.94,54.16,313.7
18.82,-29.73,-41.53,54.43,302.33
17.64,-29.45,-42.45,54.59,300.91
22.55,-28.27,-40.31,54.15,308.57
34.27,-21.55,-30.2,50.51,327.84
35,-21.45,-22.86,46.99,328.49
36.45,-4.45,-3.98,36.94,353.03
35.91,-6.73,-3.88,36.74,349.39
31.91,-3.64,2.96,32.25,353.5
15.91,-5.18,12.96,21.16,341.96
6,-8,13.57,16.86,306.87
-7.27,-13.27,7.76,17.01,241.28
-17,-15.91,-2.76,23.45,223.1
-18.73,-19.82,-12.04,29.81,226.62
-18.18,-23.09,-19.29,35.15,231.78
-15.27,-26,-18.98,35.63,239.57
-14.09,-27.36,-20.82,37.16,242.75
-10.27,-29.73,-31.33,44.39,250.94
-7,-29.82,-36.84,47.91,256.79
-4.64,-29.73,-39.29,49.48,261.14
5.45,-28.64,-45.82,54.3,280.78
14.45,-27.64,-46.53,56.02,297.61
14.91,-26.64,-47.14,56.16,299.24
15.82,-25.27,-48.16,56.64,302.04
17.82,-24.55,-48.37,57.09,305.98
18,-24.45,-47.86,56.68,306.36
18.91,-23.82,-48.47,57.22,308.45
18.55,-23.73,-48.67,57.24,308.01
17,-25,-48.57,57.21,304.22
17.27,-25.18,-47.96,56.86,304.45
14.91,-26.73,-47.24,56.29,299.15
18.55,-25.82,-46.43,56.27,305.69
18.27,-26.73,-45.92,56.18,304.36
